Name,Job
Alex,Senior Software Developer
Sarah,Software Engineer
Mike,Machine Learning Engineer
Dana,Data Analyst
Victor,Visual Designer
Claire,Creative Artist
Brian,Brand Strategist
Diana,Digital Marketing Specialist
Peter,Program Coordinator
Olivia,Operations Manager
Ian,Investment Banker
Fiona,Financial Planner
Jake,Full Stack Developer
Emily,Frontend Developer
Mark,Data Engineer
Rachel,Business Analyst
Nathan,UI/UX Designer
Lily,Motion Graphics Designer
Kevin,Content Marketing Manager
Grace,Social Media Manager
Jason,Agile Project Manager
Mia,Product Manager
Ethan,Quantitative Analyst
Zoe,Risk Analyst
Dylan,Backend Developer
Ava,Mobile App Developer
Logan,Statistician
Harper,Research Scientist
Chloe,Brand Identity Designer
Aaron,Web Designer
Madison,Growth Hacker
Owen,SEO Specialist
Sofia,Scrum Master
Connor,IT Project Manager
Isabella,Portfolio Manager
Jack,Actuary
Amelia,DevOps Engineer
William,QA Engineer
Sofia,AI Specialist
Henry,Data Mining Engineer
Emma,Packaging Designer
Michael,Illustration Artist
Addison,Email Marketing Specialist
Lucy,Brand Ambassador
Daniel,Construction Manager
Victoria,HR Project Manager
Oliver,Corporate Finance Analyst
Lily,Budget Analyst
